vessel_ref_id,name,imo_number,mmsi,flag,owner,operator,vessel_type,loa_m,beam_m,draft_m,gross_tonnage,deadweight_tonnage,engine_power_kw,vessel_age_years,build_year,destination_port,current_port,current_lifecycle_stage,current_lat,current_lon,current_speed_knots,current_heading
VSL-0001,Hapag-Lloyd Leo,1338909,211863794,Germany,Hapag-Lloyd AG,Hapag-Lloyd AG,General Cargo,82.5,13.2,6.38,12812,16153,14047,9.0,2016,PORT_A,PORT_C,At Sea,39.5856,16.5057,14.1,172
VSL-0002,Hapag-Lloyd Endeavor,9593103,229413164,Malta,Hapag-Lloyd AG,Hapag-Lloyd AG,Container,263.6,36.5,12.15,54395,58799,34697,0.5,2024,PORT_F,PORT_C,At Sea,45.8451,14.4483,20.1,136
VSL-0003,PIL Edmonton,5030567,564139537,Singapore,Pacific International Lines,Pacific International Lines,RoRo,182.0,26.7,6.29,31494,16684,19751,2.2,2023,PORT_H,PORT_C,At Sea,44.5085,13.5778,15.2,299
VSL-0004,CMA CGM Britannia,6916691,227848018,France,CMA CGM Group,CMA CGM Group,Bulk Carrier,237.5,39.3,10.17,99772,163582,15533,5.4,2020,PORT_F,PORT_B,At Sea,33.9524,36.4359,13.5,1
VSL-0005,PIL Jade,2528800,564701543,Singapore,Pacific International Lines,Pacific International Lines,Feeder,121.3,20.0,4.79,8507,9879,2250,19.5,2006,PORT_B,PORT_B,At Sea,35.016,23.7713,12.6,64
VSL-0006,NYK Edmonton,4657875,431331509,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Container,284.6,38.4,13.3,46505,53817,63876,4.4,2021,PORT_D,PORT_A,At Sea,29.3587,27.9317,17.7,117
VSL-0007,OOCL Neptune,3763110,311656670,Bahamas,Orient Overseas Container Line,Orient Overseas Container Line,Container,186.9,26.1,11.98,71415,85062,35366,5.3,2020,PORT_B,PORT_A,At Sea,27.9933,35.0222,18.3,97
VSL-0008,Maersk Horizon,1326774,219602606,Denmark,A.P. Moller-Maersk,A.P. Moller-Maersk,Tanker,183.8,31.6,11.02,60561,105617,54351,0.6,2024,PORT_H,PORT_E,At Sea,35.9774,30.8992,13.4,284
VSL-0009,MSC Poseidon,8820810,636191361,Liberia,Mediterranean Shipping Company,Mediterranean Shipping Company,General Cargo,128.7,18.9,5.95,12619,16528,3877,10.6,2014,PORT_D,PORT_D,Berthed,37.9416,23.6308,0.0,41
VSL-0010,PIL Hamburg,7510793,563183842,Singapore,Pacific International Lines,Pacific International Lines,Bulk Carrier,237.6,37.3,11.14,94450,143956,18170,10.1,2015,PORT_B,PORT_B,Berthed,31.2676,32.2974,0.0,80
VSL-0011,PIL Triumph,4118245,564935348,Singapore,Pacific International Lines,Pacific International Lines,Tanker,252.3,42.8,12.33,108514,180612,51319,6.0,2019,PORT_A,PORT_B,At Sea,35.2492,24.9727,14.7,66
VSL-0012,CMA CGM Sapphire,5982629,226450533,France,CMA CGM Group,CMA CGM Group,General Cargo,106.2,15.6,8.71,24308,34827,9415,0.5,2024,PORT_F,PORT_G,At Sea,24.9715,43.3217,13.2,121
VSL-0013,MOL Felicity,4216073,431375433,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,LNG Carrier,342.7,56.2,11.62,131699,70389,50991,10.7,2014,PORT_D,PORT_G,At Sea,28.4873,51.0833,19.5,328
VSL-0014,Ever Leo,9655690,355169340,Panama,Evergreen Marine Corporation,Evergreen Marine Corporation,Tanker,275.5,44.8,18.28,48465,80998,16242,16.8,2008,PORT_A,PORT_D,At Sea,43.0456,26.0415,13.3,340
VSL-0015,NYK Discovery,3662990,432680443,Japan,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Feeder,103.6,16.7,5.99,3620,4223,7300,5.7,2019,PORT_F,PORT_H,At Sea,-1.6011,98.1202,10.1,86
VSL-0016,MOL Odyssey,8037918,432936763,Japan,Mitsui O.S.K. Lines,Mitsui O.S.K. Lines,General Cargo,108.4,16.2,8.32,26674,34918,4400,24.3,2001,PORT_A,PORT_B,At Sea,33.1633,41.8973,12.1,356
VSL-0017,OOCL Victory,9868728,311774348,Bahamas,Orient Overseas Container Line,Orient Overseas Container Line,Tanker,168.5,28.6,11.74,96046,170847,35540,12.9,2012,PORT_D,PORT_E,At Sea,28.5171,26.3184,13.7,276
